,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
87,Torbay,CA,1575594398,47.66,-52.73,36.0,94,90,8.05
88,Monte Alegre,BR,1575594790,-2.0,-54.07,81.7,69,100,4.16
89,Sitka,US,1575594633,37.17,-99.65,48.0,63,56,10.02
90,Bani,YE,1575594792,16.02,42.93,78.67,78,0,3.09
91,Albany,US,1575594627,42.65,-73.75,33.01,63,90,16.11
92,Terekli-Mekteb,RU,1575594794,44.16,45.87,32.49,71,0,5.84
93,Warman,CA,1575594795,52.32,-106.58,16.0,92,20,6.93
94,New Norfolk,AU,1575594634,-42.78,147.06,57.99,62,75,26.4
95,Amuntai,ID,1575594797,-2.42,115.25,79.99,79,96,1.72
96,Bhiwani,IN,1575594798,28.79,76.14,55.24,49,0,2.48
97,Henties Bay,NA,1575594641,-22.12,14.28,64.99,90,68,3.0
98,Klaksvik,FO,1575594636,62.23,-6.59,39.2,60,100,11.41
99,Atuona,PF,1575594801,-9.8,-139.03,80.37,75,18,16.93
100,Tab,HU,1575594802,46.74,18.04,32.0,89,90,5.82
101,Marawi,PH,1575594803,8.0,124.29,82.0,77,90,4.0
102,Faanui,PF,1575594634,-16.48,-151.75,82.85,69,97,7.9
103,Zharkent,KZ,1575594805,44.17,80.0,27.5,68,98,2.08
104,Carnarvon,ZA,1575594451,-30.97,22.13,60.15,78,88,11.27
105,San Ramon,NI,1575594650,12.92,-85.84,68.11,78,13,7.47
106,Bani Walid,LY,1575594809,31.76,14.0,54.25,72,0,1.57
107,Havelock,US,1575594611,34.88,-76.9,44.6,56,1,3.53
108,Pangody,RU,1575594811,65.85,74.49,7.65,96,100,5.5
109,Vila Franca do Campo,PT,1575594648,37.72,-25.43,57.2,76,20,5.82
110,Butaritari,KI,1575594634,3.07,172.79,75.99,94,100,5.53
111,Les Cayes,HT,1575594814,18.19,-73.75,83.12,73,0,8.3
112,Toyooka,JP,1575594815,35.55,134.82,35.6,100,75,2.24
113,San Jose,HN,1575594542,14.25,-87.96,73.4,78,20,13.87
114,Turukhansk,RU,1575594817,65.8,87.96,17.64,93,100,17.67
115,Lebu,ET,1575594818,8.96,38.73,53.6,76,75,9.17
116,Vanimo,PG,1575594819,-2.67,141.3,80.91,82,100,13.06
117,Atambua,ID,1575594820,-9.11,124.89,83.89,64,42,3.13
118,Janovice nad Uhlavou,CZ,1575594821,49.35,13.22,28.99,100,90,6.93
119,Hofn,IS,1575594822,64.25,-15.21,35.78,62,98,19.51
120,Boa Esperanca,BR,1575594823,-1.91,-60.0,78.26,81,44,3.15
121,Quatre Cocos,MU,1575594824,-20.21,57.76,75.0,88,40,4.7
122,Grenaa,DK,1575594826,56.42,10.88,46.4,87,100,13.87
123,Pisco,PE,1575594441,-13.71,-76.2,70.0,83,34,19.46
124,Caravelas,BR,1575594645,-17.73,-39.27,73.44,85,82,9.82
125,Porlamar,VE,1575594829,10.96,-63.85,77.63,85,31,9.1
126,Tilichiki,RU,1575594830,60.47,166.1,17.15,92,84,8.99
127,Westport,US,1575594831,41.14,-73.36,39.99,64,75,13.87
128,Wencheng,CN,1575594832,27.79,120.09,39.88,92,100,5.12
129,Khatanga,RU,1575594631,71.98,102.47,-23.55,86,0,13.38
130,Guinabsan,PH,1575594834,8.9,125.42,78.91,85,98,3.0
131,Busselton,AU,1575594635,-33.64,115.35,84.99,35,67,5.99
132,Karratha,AU,1575594639,-20.74,116.85,82.98,71,46,8.46
133,Kahului,US,1575594837,20.89,-156.47,82.4,54,40,18.34
134,Berlevag,NO,1575594639,70.86,29.09,35.29,97,100,21.5
135,San Blas,MX,1575594840,21.54,-105.29,68.0,82,5,6.11
136,Zemio,CF,1575594841,5.02,25.13,67.51,56,7,0.81
137,Xai-Xai,MZ,1575594545,-25.04,33.64,64.99,82,58,2.8
138,Kavaratti,IN,1575594639,10.57,72.64,82.76,72,29,10.76
139,Yellowknife,CA,1575594636,62.45,-114.38,-18.0,75,20,6.93
140,Angoche,MZ,1575594637,-16.23,39.91,79.43,79,24,6.89
141,Namibe,AO,1575594637,-15.19,12.15,71.37,77,26,5.35
142,Mazamari,PE,1575594848,-11.33,-74.53,60.84,98,100,0.51
143,Bonavista,CA,1575594849,48.65,-53.11,33.01,88,97,1.01
144,Cockburn Town,TC,1575594850,21.46,-71.14,79.23,84,0,18.39
145,Raglan,AU,1575594851,-23.72,150.82,96.01,43,46,12.75
146,Luancheng,CN,1575594852,37.88,114.65,32.0,83,20,6.71
147,Tual,ID,1575594853,-5.67,132.75,84.09,68,100,2.68
148,Pevek,RU,1575594645,69.7,170.27,-3.03,90,0,1.81
149,Los Llanos de Aridane,ES,1575594635,28.66,-17.92,66.2,63,20,20.8
150,Lucea,JM,1575594856,18.44,-78.17,82.4,78,75,12.75
151,Amberley,NZ,1575594857,-43.15,172.73,77.0,29,99,18.34
152,Lata,IN,1575594859,30.78,78.62,21.58,5,0,8.19
153,Chokurdakh,RU,1575594638,70.62,147.9,-11.04,91,94,15.64
154,Charlestown,US,1575594767,41.38,-71.64,37.4,84,40,8.05
155,Gizo,IL,1575594862,31.8,34.94,64.0,72,40,9.17
156,Francistown,BW,1575594863,-21.17,27.5,63.34,77,23,15.01
157,Tuktoyaktuk,CA,1575594636,69.44,-133.03,-0.4,77,90,28.86
158,Severo-Kurilsk,RU,1575594644,50.68,156.12,20.73,84,93,30.49
159,Hithadhoo,MV,1575594635,-0.6,73.08,81.79,80,100,5.99
160,Lorengau,PG,1575594641,-2.02,147.27,84.7,73,67,7.4
161,Espanola,CA,1575594869,46.27,-81.77,23.0,84,78,3.2
162,Saint George,GR,1575594637,39.45,22.34,44.6,87,75,1.88
163,Betare Oya,CM,1575594871,5.6,14.08,69.57,47,15,0.51
164,Ribeira Grande,PT,1575594629,38.52,-28.7,57.92,78,96,3.38
165,Hualmay,PE,1575594873,-11.1,-77.61,67.51,77,5,5.59
166,Cayenne,GF,1575594632,4.94,-52.33,78.8,88,100,5.82
167,Longyearbyen,NO,1575594653,78.22,15.63,28.4,74,75,29.97
168,Bull Savanna,JM,1575594877,17.89,-77.59,71.8,94,62,2.37
169,La Ronge,CA,1575594878,55.1,-105.3,10.4,78,90,8.05
170,Coquimbo,CL,1575594634,-29.95,-71.34,57.2,82,70,6.93
171,Saint Anthony,US,1575594642,43.97,-111.68,32.0,80,90,5.82
172,Adrar,DZ,1575594635,27.87,-0.29,53.6,37,0,7.07
173,Broome,GB,1575594640,52.47,1.45,48.99,93,100,19.46
174,Bowen,AU,1575594884,-20.01,148.25,91.4,52,40,13.87
175,Ugoofaaru,MV,1575594885,5.67,73.0,82.54,81,92,22.32
176,Port Hardy,CA,1575594423,50.7,-127.42,41.0,86,90,10.29
177,Parlier,US,1575594887,36.61,-119.53,64.4,55,40,3.36
178,Sande,NO,1575594888,59.59,10.21,44.6,87,100,16.11
179,Mahebourg,MU,1575594630,-20.41,57.7,75.0,82,2,0.6
180,Tumpat,MY,1575594890,6.2,102.17,78.8,78,40,10.29
181,Barrow,AR,1575594634,-38.31,-60.23,60.91,44,28,5.32
182,Nikolskoye,RU,1575594631,59.7,30.79,42.8,75,90,20.13
183,The Valley,AI,1575594893,18.22,-63.06,82.4,74,20,6.93
184,Fortuna,US,1575594653,40.6,-124.16,60.8,59,90,9.17
185,Iskateley,RU,1575594895,67.68,53.15,1.81,95,84,10.42
186,Shingu,JP,1575594655,33.72,135.99,48.2,57,75,14.99
187,Bredasdorp,ZA,1575594631,-34.53,20.04,51.8,87,0,3.36
188,Tautira,PF,1575594899,-17.73,-149.15,84.2,70,75,5.82
189,Gamba,CN,1575594900,28.28,88.52,15.53,35,78,0.25
190,Bocaiuva,BR,1575594901,-17.12,-43.81,70.11,89,91,5.59
191,Aklavik,CA,1575594636,68.22,-135.01,3.2,71,90,10.29
192,Yatou,CM,1575594903,3.63,9.81,78.8,94,75,1.12
193,Iqaluit,CA,1575594648,63.75,-68.52,10.4,78,75,6.93
194,Yumen,CN,1575594905,40.29,97.04,15.01,65,99,2.62
195,Umm Kaddadah,SD,1575594906,13.6,26.69,66.83,22,0,12.19
196,Ust-Kulom,RU,1575594907,61.69,53.69,24.6,94,100,12.15
197,Erzin,TR,1575594908,36.95,36.2,50.0,60,50,5.82
198,Lima,PE,1575594813,-12.06,-77.04,69.8,83,75,12.75
199,Mayumba,GA,1575594911,-3.44,10.65,78.57,88,100,13.8
200,Isangel,VU,1575594632,-19.55,169.27,84.2,79,75,6.93
201,Okhotsk,RU,1575594913,59.36,143.24,-11.31,79,98,20.22
202,Kruisfontein,ZA,1575594650,-34.0,24.73,63.7,58,0,8.95
203,Galesong,ID,1575594915,-5.32,119.37,86.0,74,20,4.7
204,Beringovskiy,RU,1575594916,63.05,179.32,26.31,88,100,25.37
205,Bay Roberts,CA,1575594917,47.58,-53.28,36.0,90,90,8.05
206,Price,US,1575594918,39.6,-110.81,35.6,93,90,3.67
207,Oyotun,PE,1575594919,-6.85,-79.3,66.2,29,44,18.34
208,Togur,RU,1575594920,58.36,82.83,30.88,97,100,10.65
209,Leningradskiy,RU,1575594633,69.38,178.42,16.7,85,100,13.33
210,Ban Nahin,LA,1575594662,18.24,104.21,53.11,56,3,8.19
211,Bubaque,GW,1575594923,11.28,-15.83,80.74,58,5,17.02
212,Algeciras,ES,1575594925,36.13,-5.45,60.8,82,28,17.22
213,Dunedin,NZ,1575594641,-45.87,170.5,62.15,62,100,11.77
214,Victoria,BN,1575594640,5.28,115.24,78.8,88,75,3.36
215,Tocopilla,CL,1575594642,-22.09,-70.2,55.36,35,70,1.05
216,Te Anau,NZ,1575594631,-45.41,167.72,53.26,84,80,8.41
217,Kaitangata,NZ,1575594638,-46.28,169.85,56.79,77,100,11.12
218,Sao Felix do Xingu,BR,1575594931,-6.64,-51.99,74.75,90,72,2.89
219,Lunino,RU,1575594932,53.59,45.22,33.01,72,100,15.41
220,Trincomalee,LK,1575594933,8.58,81.23,74.53,96,100,5.14
221,Coahuayana,MX,1575594934,18.62,-100.35,78.73,58,0,1.19
222,Vurnary,RU,1575594935,55.49,46.95,35.01,95,100,18.52
223,Nombre de Dios,MX,1575594936,23.85,-104.24,77.0,11,40,3.36
224,Horta,BR,1575594937,-10.93,-37.66,80.6,74,40,11.41
225,Neijiang,CN,1575594939,29.59,105.06,46.99,78,0,1.99
226,Provideniya,RU,1575594633,64.42,-173.23,17.6,78,75,24.61
227,Thompson,CA,1575594375,55.74,-97.86,-11.2,76,40,4.7
228,Auki,NG,1575594942,12.18,6.51,71.47,22,0,9.66
229,Esperance,AU,1575594648,-33.86,121.89,68.0,60,15,12.75
230,Porto Novo,BR,1575594944,-23.68,-45.44,69.8,94,75,1.83
231,Bafq,IR,1575594945,31.6,55.4,49.95,53,0,3.29
232,Broken Hill,AU,1575594643,-31.97,141.45,71.6,37,0,11.41
233,Gushikawa,JP,1575594632,26.35,127.87,62.6,88,90,19.46
234,Kununurra,AU,1575594948,-15.77,128.74,96.8,41,48,5.82
235,Comodoro Rivadavia,AR,1575594949,-45.87,-67.48,64.4,52,40,10.29
236,Yingkou,CN,1575594950,40.67,122.24,23.95,63,0,11.1
237,Banda Aceh,ID,1575594706,5.56,95.32,71.89,93,29,5.66
238,Matara,BI,1575594642,-3.48,29.48,58.06,93,100,3.06
239,Kargasok,RU,1575594954,59.06,80.87,28.85,96,100,11.65
240,Luderitz,NA,1575594955,-26.65,15.16,62.6,88,41,6.93
241,Urusha,RU,1575594956,54.05,122.9,-9.71,90,100,4.21
242,Mgandu,TZ,1575594957,-5.96,34.11,62.35,92,100,2.57
243,Jiazi,CN,1575594958,19.61,110.49,66.2,34,99,13.42
244,Ruteng,ID,1575594959,-8.61,120.46,80.1,57,76,2.04
245,Pingshan,CN,1575594960,28.83,104.35,45.79,78,0,1.03
246,Santa Maria,BR,1575594961,-16.02,-48.01,71.6,88,75,5.82
247,Hare Bay,CA,1575594962,48.86,-53.99,26.6,92,40,12.75
248,Ostrovnoy,RU,1575594635,68.05,39.51,19.17,94,100,8.88
249,Evensk,RU,1575594964,61.92,159.24,7.86,80,100,18.61
250,Monrovia,LR,1575594634,6.33,-10.8,78.8,94,20,8.72
251,Marataizes,BR,1575594966,-21.04,-40.82,77.2,90,100,3.91
252,Ilam,IR,1575594968,33.64,46.42,35.6,72,0,2.24
253,Mangrol,IN,1575594638,25.33,76.51,56.34,49,80,3.11
254,Sedniv,UA,1575594970,51.64,31.56,30.06,77,0,11.03
255,Vokhtoga,RU,1575594971,58.81,41.03,36.93,84,100,14.61
256,Hope,US,1575594640,33.67,-93.59,63.0,42,20,6.93
257,Guerrero Negro,MX,1575594644,27.97,-114.04,70.41,57,42,11.5
258,Axim,GH,1575594639,4.87,-2.24,75.87,92,33,3.18
259,Padang,ID,1575594975,-0.92,100.36,69.69,88,33,5.19
260,Barre,FR,1575594978,43.75,2.83,45.0,100,37,3.36
261,Ngunguru,NZ,1575594651,-35.62,174.5,78.01,73,0,5.01
262,Itarema,BR,1575594980,-2.92,-39.92,77.86,80,51,6.93
263,North Bend,US,1575594981,43.41,-124.22,54.0,87,1,3.13
264,Kodiak,US,1575594638,39.95,-94.76,50.0,61,1,4.7
265,Bethanien,NA,1575594983,-26.5,17.16,66.56,56,75,3.04
266,Ponta do Sol,BR,1575594645,-20.63,-46.0,67.68,98,100,2.68
267,Flin Flon,CA,1575594653,54.77,-101.88,3.2,77,90,4.7
268,Navahrudak,BY,1575594986,53.59,25.82,29.97,73,0,15.55
269,Cidreira,BR,1575594631,-30.17,-50.22,68.29,69,14,13.62
270,Boa Vista,BR,1575594988,2.82,-60.67,84.2,62,40,11.41
271,Pedernales,EC,1575594989,0.07,-80.05,74.88,87,65,5.79
272,Vestmannaeyjar,IS,1575594990,63.44,-20.27,33.19,67,100,18.5
273,Rome,IT,1575594734,41.89,12.48,52.0,81,40,3.36
274,Xining,CN,1575594646,36.62,101.77,7.99,66,0,7.16
275,Igarka,RU,1575594994,67.47,86.57,13.55,94,100,20.0
276,Huarmey,PE,1575594995,-10.07,-78.15,68.36,73,86,3.98
277,Kaduqli,SD,1575594996,11.01,29.72,71.51,24,0,11.32
278,Along,IN,1575594997,28.17,94.8,44.33,45,0,5.53
279,Opuwo,NA,1575594644,-18.06,13.84,66.94,65,16,5.1
280,Emerald,AU,1575594966,-23.53,148.16,93.2,34,0,9.17
281,Phalombe,MW,1575595000,-15.81,35.65,65.32,95,59,8.34
282,Port Augusta,AU,1575594654,-32.49,137.76,64.4,68,90,14.99
283,Tamandare,BR,1575595003,-8.28,-70.75,73.81,97,23,1.79
284,Qasigiannguit,GL,1575595004,68.82,-51.19,6.8,38,0,8.05
285,Kloulklubed,PW,1575595005,7.04,134.26,80.6,83,90,3.36
286,Puerto Escondido,MX,1575595006,15.86,-97.07,84.2,74,40,5.82
287,Souillac,FR,1575594645,45.6,-0.6,41.0,100,90,4.7
288,San Quintin,PH,1575594642,17.54,120.52,75.78,85,51,3.76
289,Praia,BR,1575594648,-20.25,-43.81,69.8,88,75,10.29
290,Salalah,OM,1575594650,17.01,54.1,78.8,57,75,19.46
291,Maragogi,BR,1575594632,-9.01,-35.22,80.73,76,77,13.67
292,Ust-Nera,RU,1575595012,64.57,143.24,-25.24,96,99,9.19
293,Hambantota,LK,1575595013,6.12,81.12,73.4,100,75,11.14
294,Tabou,CI,1575595014,4.42,-7.36,75.97,93,73,4.12
295,Wenling,CN,1575595015,28.38,121.38,51.01,88,100,18.32
296,Warri,NG,1575595016,5.52,5.75,77.27,88,24,2.8
297,Vao,EE,1575594647,59.1,26.19,40.84,82,100,15.03
298,Dekar,BW,1575595019,-21.53,21.93,70.5,74,99,13.42
299,Bonthe,SL,1575594642,7.53,-12.5,80.38,81,0,7.4
300,Bukachacha,RU,1575595021,52.99,116.91,-11.4,87,83,2.55
301,Yulara,AU,1575594653,-25.24,130.99,95.0,5,0,9.17
302,Jiutai,CN,1575595023,44.15,125.84,1.4,54,0,11.18
303,Caraquet,CA,1575595024,47.79,-64.94,27.0,79,90,6.93
304,Venice,US,1575595025,27.1,-82.45,57.2,62,1,4.7
305,Nishihara,JP,1575594642,35.74,139.53,48.99,65,75,9.17
306,Haines Junction,CA,1575594637,60.75,-137.51,0.19,98,97,3.09
307,Rudiskes,LT,1575595028,54.52,24.83,30.2,86,75,10.29
308,Mar del Plata,AR,1575594637,-46.43,-67.52,67.71,28,53,17.36
309,Diffa,NE,1575595030,13.32,12.61,68.74,18,0,8.1
310,Talnakh,RU,1575595031,69.49,88.39,12.2,92,75,29.08
311,Coihaique,CL,1575594512,-45.58,-72.07,55.4,58,20,16.11
312,Lavrentiya,RU,1575594635,65.58,-170.99,12.47,83,100,18.12
313,Eyl,SO,1575595034,7.98,49.82,82.0,67,81,18.66
314,Kudahuvadhoo,MV,1575594645,2.67,72.89,82.29,78,89,10.94
315,Salaga,GH,1575595036,8.55,-0.52,82.54,44,40,0.83
316,Yerbogachen,RU,1575595037,61.28,108.01,-11.4,97,73,3.4
317,Leshukonskoye,RU,1575595038,64.9,45.76,26.28,98,100,3.04
318,Qaqortoq,GL,1575594630,60.72,-46.03,19.4,37,93,3.36
319,Havoysund,NO,1575595040,71.0,24.66,32.0,80,75,6.93
320,Tagusao,PH,1575595041,9.19,117.81,79.11,83,35,2.73
321,San Patricio,PY,1575594635,-26.98,-56.83,65.89,47,0,6.22
322,Slave Lake,CA,1575595044,55.28,-114.77,12.2,92,75,3.36
323,Abalak,NE,1575594646,15.46,6.28,68.0,16,15,11.07
324,Xinmin,CN,1575595046,42.0,122.83,6.8,55,0,6.71
325,Peniche,PT,1575594965,39.36,-9.38,55.4,62,0,13.87
326,South Hill,US,1575595048,47.12,-122.29,48.2,100,90,2.24
327,Falmouth,GB,1575595049,50.16,-5.07,54.0,100,100,27.51
328,Kysyl-Syr,RU,1575595050,63.9,122.77,-38.22,93,80,7.9
329,Awjilah,LY,1575594635,29.14,21.3,58.08,42,0,5.75
330,Lalibela,ET,1575595052,12.04,39.05,58.39,69,3,4.74
331,Suntar,RU,1575595053,62.16,117.65,-38.99,94,21,3.18
332,Stykkisholmur,IS,1575595054,65.08,-22.73,26.15,85,87,5.41
333,Touros,BR,1575594647,-5.2,-35.46,77.0,78,50,5.82
334,Maniitsoq,GL,1575594653,65.42,-52.9,14.81,44,0,6.89
335,Itanhem,BR,1575595057,-17.17,-40.33,70.47,84,63,3.53
336,Saint-Pierre,FR,1575595058,48.95,4.24,32.0,83,90,12.75
337,Haileybury,CA,1575594640,47.44,-79.64,19.4,79,90,8.05
338,Inuvik,CA,1575595060,68.36,-133.71,3.2,83,90,5.82
339,Boden,SE,1575595061,65.83,21.69,33.8,74,52,9.17
340,Heihe,RU,1575595063,50.24,127.51,-0.4,40,81,2.24
341,Umba,RU,1575595064,66.69,34.34,33.35,88,100,18.86
342,Rundu,NA,1575595065,-17.91,19.77,69.8,94,94,3.36
343,Enid,US,1575595066,36.4,-97.88,54.0,62,0,8.05
344,Prince Rupert,CA,1575594912,54.32,-130.32,32.0,68,90,3.36
345,Mitsamiouli,KM,1575595068,-11.38,43.28,83.25,73,24,6.44
346,Abonnema,NG,1575595069,4.71,6.79,79.02,85,6,5.53
347,Ilo,PE,1575595070,-17.65,-71.34,65.46,87,53,3.38
348,Annecy-le-Vieux,FR,1575595071,45.92,6.14,36.0,100,90,3.36
349,Srednekolymsk,RU,1575594632,67.46,153.71,-4.86,87,96,15.1
350,Cururupu,BR,1575595073,-1.82,-44.87,74.75,88,40,2.77
351,Nyrob,RU,1575595074,60.74,56.73,19.36,93,100,12.8
352,Athabasca,CA,1575595075,54.72,-113.29,18.3,77,49,9.01
353,Yeppoon,AU,1575595076,-23.13,150.74,93.2,41,45,10.29
354,Kattivakkam,IN,1575595077,13.22,80.32,79.0,78,75,4.7
355,Kirakira,SB,1575595078,-10.46,161.92,82.92,75,94,4.72
356,West Wendover,US,1575595079,40.74,-114.07,32.0,98,90,2.17
357,Pauini,BR,1575595080,-7.71,-67.0,76.82,84,64,2.04
358,Belmonte,PT,1575595081,40.36,-7.35,45.0,85,0,5.01
359,Namtsy,RU,1575595083,62.72,129.66,-38.2,65,88,6.71
360,Nuuk,GL,1575595084,64.17,-51.74,14.0,72,20,13.87
361,Mount Gambier,AU,1575594635,-37.83,140.78,57.2,82,90,13.87
362,Banfora,BF,1575595086,10.64,-4.75,76.62,20,90,1.9
363,Bambous Virieux,MU,1575594635,-20.34,57.76,75.0,82,17,2.91
364,Sunrise Manor,US,1575595088,36.21,-115.07,55.4,76,1,8.05
365,Orlik,PL,1575594631,53.95,17.74,32.0,71,58,13.87
366,Neiafu,TO,1575594644,-18.65,-173.98,82.4,74,75,6.93
367,Phangnga,TH,1575595091,8.45,98.53,78.8,69,20,6.93
368,Sorong,ID,1575595092,-0.86,131.25,85.32,69,75,1.43
369,Yuanping,CN,1575595093,38.72,112.71,19.15,77,0,0.85
370,Necochea,AR,1575595094,-38.55,-58.74,55.0,1,28,4.0
371,Maksi,LV,1575595095,56.95,27.73,37.18,87,100,13.33
372,Piacabucu,BR,1575595096,-10.41,-36.43,78.44,78,35,10.63
373,Port-Cartier,CA,1575595097,50.03,-66.88,23.0,92,90,3.36
